id,text,true_label,distilbert_pred,distilbert_confidence,distilbert_prob_label_1,distilbert_correct,text_length_words,text_length_chars,has_negation
62,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ,1,1,0.9900980591773987,0.9900980591773987,1,19,104,0
63,"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ",1,1,0.9995653033256531,0.9995653033256531,1,26,132,0
64,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ",0,0,0.9640988707542419,0.03590107336640358,1,16,91,0
65,you wonder why enough was n't just a music video rather than a full-length movie . ,0,0,0.997014045715332,0.0029859631322324276,1,16,83,1
66,"if you 're hard up for raunchy college humor , this is your ticket right here . ",1,1,0.9583393931388855,0.9583393931388855,1,17,80,0
67,"a fast , funny , highly enjoyable movie . ",1,1,0.9998927116394043,0.9998927116394043,1,9,42,0
68,good old-fashioned slash-and-hack is back ! ,1,1,0.9980097413063049,0.9980097413063049,1,6,44,0
69,"this one is definitely one to skip , even for horror movie fanatics . ",0,0,0.751977801322937,0.24802221357822418,1,14,70,0
70,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0,0,0.9963361024856567,0.003663907293230295,1,27,165,1
71,"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ",1,1,0.9998449087142944,0.9998449087142944,1,28,168,1
72,uses high comedy to evoke surprising poignance . ,1,1,0.9996638298034668,0.9996638298034668,1,8,49,0
73,"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . ",1,1,0.9971179962158203,0.9971179962158203,1,24,117,0
74,a string of rehashed sight gags based in insipid vulgarity . ,0,0,0.9990476965904236,0.0009522787877358496,1,11,61,0
75,among the year 's most intriguing explorations of alientation . ,1,1,0.9997631907463074,0.9997631907463074,1,10,64,0
76,the movie fails to live up to the sum of its parts . ,0,0,0.9996609687805176,0.0003390124184079468,1,13,53,0
77,the son 's room is a triumph of gentility that earns its moments of pathos . ,1,1,0.9996894598007202,0.9996894598007202,1,16,77,0
78,"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",1,1,0.9998123049736023,0.9998123049736023,1,31,166,1
79,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,0,0,0.999118983745575,0.0008809851133264601,1,44,234,0
80,the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,1,1,0.9998196959495544,0.9998196959495544,1,18,78,0
81,"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ",0,0,0.9984713196754456,0.0015286708949133754,1,24,107,0
82,it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,0,0,0.9894900918006897,0.01050992775708437,1,14,93,0
83,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",1,1,0.7868880033493042,0.7868880033493042,1,23,126,0
84,"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ",1,1,0.9995777010917664,0.9995777010917664,1,23,123,0
85,the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ,1,1,0.9996227025985718,0.9996227025985718,1,22,111,0
86,"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",0,0,0.9993378520011902,0.0006620680214837193,1,21,113,0
87,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,1,0,0.5989077687263489,0.4010922610759735,0,17,96,0
88,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,1,1,0.9990081191062927,0.9990081191062927,1,28,143,1
89,"we know the plot 's a little crazy , but it held my interest from start to finish . ",1,1,0.9975523352622986,0.9975523352622986,1,19,84,1
90,"it 's a scattershot affair , but when it hits its mark it 's brilliant . ",1,1,0.9997997879981995,0.9997997879981995,1,16,73,1
91,"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . ",1,1,0.9998346567153931,0.9998346567153931,1,19,116,1
92,"you wo n't like roger , but you will quickly recognize him . ",0,1,0.9982166886329651,0.9982166886329651,0,13,61,1
93,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,1,0,0.992185652256012,0.007814380340278149,0,16,76,0
94,"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ",1,1,0.9997323155403137,0.9997323155403137,1,24,135,1
95,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,0,1,0.9995700716972351,0.9995700716972351,0,26,146,0
96,"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",0,0,0.995710015296936,0.004290036857128143,1,28,152,1
97,"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ",1,1,0.9884506464004517,0.9884506464004517,1,23,133,1
98,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ",0,0,0.9997064471244812,0.000293534278171137,1,21,121,0
99,why make a documentary about these marginal historical figures ? ,0,0,0.9988744854927063,0.0011254819110035896,1,10,65,0
100,"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . ",1,1,0.9997956156730652,0.9997956156730652,1,22,111,1
101,"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",0,0,0.9927707314491272,0.007229265291243792,1,21,112,1
102,"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters ",1,1,0.9370934963226318,0.9370934963226318,1,15,93,1
103,"a gripping movie , played with performances that are all understated and touching . ",1,1,0.9998495578765869,0.9998495578765869,1,14,84,0
104,"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ",1,1,0.9750756621360779,0.9750756621360779,1,47,231,1
105,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ",0,0,0.9956508278846741,0.004349223803728819,1,32,165,0
106,the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . ,1,1,0.9981552958488464,0.9981552958488464,1,16,97,0
107,what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,0,0,0.9952141046524048,0.004785939585417509,1,21,109,1
108,"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ",0,0,0.9952598214149475,0.00474014226347208,1,20,97,1
109,it 's great escapist fun that recreates a place and time that will never happen again . ,1,1,0.9998751878738403,0.9998751878738403,1,17,88,1
110,"scores no points for originality , wit , or intelligence . ",0,0,0.9995136260986328,0.000486335571622476,1,11,59,1
111,"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ",0,0,0.9980019927024841,0.001998003339394927,1,16,91,1
112,hilariously inept and ridiculous . ,1,0,0.9965178966522217,0.0034820653963834047,0,5,35,0
113,this movie is maddening . ,0,0,0.9996625185012817,0.0003374913358129561,1,5,26,0
114,"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ",1,1,0.9996973276138306,0.9996973276138306,1,29,140,1
115,sam mendes has become valedictorian at the school for soft landings and easy ways out . ,0,1,0.9908287525177002,0.9908287525177002,0,16,88,0
116,one of the smartest takes on singles culture i 've seen in a long time . ,1,1,0.9998216032981873,0.9998216032981873,1,16,73,0
117,"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ",1,1,0.9997732043266296,0.9997732043266296,1,26,146,1
118,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,0,1,0.563998281955719,0.563998281955719,0,20,110,1
119,comes ... uncomfortably close to coasting in the treads of the bicycle thief . ,0,0,0.9972489476203918,0.0027510158251971006,1,14,79,0
120,"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ",1,1,0.9998028874397278,0.9998028874397278,1,28,160,0
121,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,0,1,0.9991958737373352,0.9991958737373352,0,24,123,1
122,old-form moviemaking at its best . ,1,1,0.9677327871322632,0.9677327871322632,1,6,35,0
123,turns potentially forgettable formula into something strangely diverting . ,1,0,0.9360312223434448,0.06396877765655518,0,9,75,0
124,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ",1,1,0.998295247554779,0.998295247554779,1,33,175,0
125,a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair . ,1,1,0.9998620748519897,0.9998620748519897,1,25,137,0
126,confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it . ,0,0,0.9959831237792969,0.004016915336251259,1,22,114,0
127,"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . ",0,0,0.9990482926368713,0.0009516729041934013,1,35,177,0
128,montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ,1,1,0.9997772574424744,0.9997772574424744,1,28,158,1
129,"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . ",1,1,0.9998884201049805,0.9998884201049805,1,19,115,0
130,suffers from the lack of a compelling or comprehensible narrative . ,0,0,0.9996634721755981,0.0003365163574926555,1,11,68,0
131,"in execution , this clever idea is far less funny than the original , killers from space . ",0,0,0.9994975328445435,0.0005024957354180515,1,18,91,0
132,scooby dooby doo / and shaggy too / you both look and sound great . ,1,1,0.9998798370361328,0.9998798370361328,1,15,68,0
133,"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . ",0,0,0.9982245564460754,0.0017754159634932876,1,36,162,0
134,it all drags on so interminably it 's like watching a miserable relationship unfold in real time . ,0,0,0.9994526505470276,0.0005473908968269825,1,18,99,0
135,"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . ",0,1,0.9398280382156372,0.9398280382156372,0,37,203,1
136,looks and feels like a project better suited for the small screen . ,0,0,0.9967890977859497,0.003210937837138772,1,13,68,0
137,"forced , familiar and thoroughly condescending . ",0,0,0.9992740750312805,0.0007259137346409261,1,7,49,0
138,that is a compliment to kuras and miller . ,1,1,0.9997963309288025,0.9997963309288025,1,9,43,0
139,it 's not the ultimate depression-era gangster movie . ,0,0,0.996799111366272,0.003200874663889408,1,9,55,1
140,sacrifices the value of its wealth of archival foot-age with its less-than-objective stance . ,0,0,0.9991832375526428,0.0008167482446879148,1,14,94,0
141,the character of zigzag is not sufficiently developed to support a film constructed around him . ,0,0,0.9996263980865479,0.00037363049341365695,1,16,97,1
142,what better message than ` love thyself ' could young women of any size receive ? ,1,0,0.9890785813331604,0.010921353474259377,0,16,82,0
143,a solid film ... but more conscientious than it is truly stirring . ,1,1,0.9829044938087463,0.9829044938087463,1,13,68,1
144,"while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film . ",0,0,0.9994739890098572,0.0005259729223325849,1,22,111,1
145,the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . ,0,0,0.7678999900817871,0.2320999950170517,1,27,132,1
146,"about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological . ",1,1,0.999842643737793,0.999842643737793,1,22,123,1
147,the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . ,0,1,0.888843297958374,0.888843297958374,0,26,141,1
148,feels too formulaic and too familiar to produce the transgressive thrills of early underground work . ,0,0,0.9995962977409363,0.00040371398790739477,1,16,102,0
149,"the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance . ",1,1,0.9892539978027344,0.9892539978027344,1,30,179,0
150,overall very good for what it 's trying to do . ,1,1,0.9998118281364441,0.9998118281364441,1,11,48,0
151,"a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion . ",1,1,0.999813973903656,0.999813973903656,1,17,106,0
152,"a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear . ",1,1,0.9987751841545105,0.9987751841545105,1,28,168,0
153,the heavy-handed film is almost laughable as a consequence . ,0,0,0.9978613257408142,0.0021386281587183475,1,10,61,0
154,a solid examination of the male midlife crisis . ,1,1,0.9993933439254761,0.9993933439254761,1,9,49,0
155,a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes . ,0,0,0.9983751773834229,0.001624759053811431,1,29,163,0
156,"manages to transcend the sex , drugs and show-tunes plot into something far richer . ",1,1,0.9996966123580933,0.9996966123580933,1,15,85,0
157,it takes talent to make a lifeless movie about the most heinous man who ever lived . ,0,0,0.9995937943458557,0.0004062614170834422,1,17,85,1
158,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0,1,0.9978105425834656,0.9978105425834656,0,33,168,0
159,"like leon , it 's frustrating and still oddly likable . ",1,1,0.9995074272155762,0.9995074272155762,1,11,56,0
160,"uncommonly stylish but equally silly ... the picture fails to generate much suspense , nor does it ask searching enough questions to justify its pretensions . ",0,0,0.9996310472488403,0.00036899131373502314,1,26,159,1
161,not exactly the bees knees ,0,0,0.9976296424865723,0.002370283007621765,1,5,27,1
162,"there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there . ",0,0,0.9993947744369507,0.000605253444518894,1,27,112,1
163,"slapstick buffoonery can tickle many a preschooler 's fancy , but when it costs a family of four about $ 40 to see a film in theaters , why spend money on a dog like this when you can rent a pedigree instead ? ",0,0,0.9982408285140991,0.0017591561190783978,1,44,210,1
164,a woman 's pic directed with resonance by ilya chaiken . ,1,1,0.9995403289794922,0.9995403289794922,1,11,57,0
165,may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen . ,0,0,0.9988622665405273,0.0011377057526260614,1,22,131,1
166,"characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs . ",0,0,0.9855322241783142,0.014467773959040642,1,30,178,1
167,the end result is a film that 's neither . ,0,0,0.9995104074478149,0.0004896251484751701,1,10,43,0
168,manages to be sweet and wickedly satisfying at the same time . ,1,1,0.9998589754104614,0.9998589754104614,1,12,63,0
169,leigh 's film is full of memorable performances from top to bottom . ,1,1,0.9997870326042175,0.9997870326042175,1,13,69,0
170,"it 's also , clearly , great fun . ",1,1,0.9998856782913208,0.9998856782913208,1,9,35,0
171,rarely has leukemia looked so shimmering and benign . ,0,1,0.9966360330581665,0.9966360330581665,0,9,54,0
172,it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . ,1,1,0.992587149143219,0.992587149143219,1,23,102,1
173,"determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult . ",0,0,0.9986529350280762,0.0013470947742462158,1,21,106,1
174,if you dig on david mamet 's mind tricks ... rent this movie and enjoy ! ,1,1,0.9994699358940125,0.9994699358940125,1,16,73,0
175,"bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves . ",1,1,0.9990999698638916,0.9990999698638916,1,17,102,0
176,"delivers the same old same old , tarted up with latin flava and turned out by hollywood playas . ",0,0,0.9963074922561646,0.003692475613206625,1,19,97,0
177,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ",0,0,0.999089241027832,0.0009107795194722712,1,27,152,1
178,it made me want to wrench my eyes out of my head and toss them at the screen . ,0,0,0.8807171583175659,0.11928282678127289,1,19,79,0
179,the film 's performances are thrilling . ,1,1,0.9998830556869507,0.9998830556869507,1,7,41,0
180,"unfortunately , it 's not silly fun unless you enjoy really bad movies . ",0,0,0.9929210543632507,0.007078998256474733,1,14,73,1
181,it 's a bad thing when a movie has about as much substance as its end credits blooper reel . ,0,0,0.9995323419570923,0.00046764177386648953,1,20,93,0
182,"i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand . ",0,0,0.9990929365158081,0.0009070979431271553,1,25,121,1
183,"the lower your expectations , the more you 'll enjoy it . ",0,1,0.9940728545188904,0.9940728545188904,0,12,58,0
184,"though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining . ",0,1,0.7985210418701172,0.7985210418701172,0,38,229,1
185,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ",1,1,0.9996672868728638,0.9996672868728638,1,17,109,0
186,"pacino is brilliant as the sleep-deprived dormer , his increasing weariness as much existential as it is physical . ",1,1,0.9992465972900391,0.9992465972900391,1,19,116,1
187,` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . ' ,1,1,0.9993683695793152,0.9993683695793152,1,19,105,0
188,"a misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment . ",0,0,0.9982953667640686,0.001704600639641285,1,18,100,0
189,"its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ? ",0,0,0.9988301396369934,0.001169846160337329,1,27,117,1
190,"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! ' ",0,0,0.9885846376419067,0.011415437795221806,1,33,150,1
191,the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that 's all too rare in hollywood 's hastier productions . ,1,1,0.9996627569198608,0.9996627569198608,1,31,158,0
192,"a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences . ",1,1,0.9983100891113281,0.9983100891113281,1,24,133,0
193,"morton uses her face and her body language to bring us morvern 's soul , even though the character is almost completely deadpan . ",1,1,0.996130108833313,0.996130108833313,1,24,130,0
194,"instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life . ",1,1,0.9974121451377869,0.9974121451377869,1,19,117,0
195,my thoughts were focused on the characters . ,1,0,0.8500580191612244,0.14994193613529205,0,8,45,0
196,"so , too , is this comedy about mild culture clashing in today 's new delhi . ",1,1,0.99903404712677,0.99903404712677,1,17,78,0
197,"for starters , the story is just too slim . ",0,0,0.9996029734611511,0.00039709554403088987,1,10,44,0
198,"this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world . ",1,1,0.9998722076416016,0.9998722076416016,1,33,189,1
199,"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave . ",0,0,0.9981017708778381,0.0018982659094035625,1,30,138,1
200,"the format gets used best ... to capture the dizzying heights achieved by motocross and bmx riders , whose balletic hotdogging occasionally ends in bone-crushing screwups . ",1,1,0.9930184483528137,0.9930184483528137,1,27,173,0
201,"inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat . ",1,1,0.9926233291625977,0.9926233291625977,1,33,154,1
202,"there ought to be a directing license , so that ed burns can have his revoked . ",0,0,0.998979389667511,0.0010206043953076005,1,17,80,0
203,bad . ,0,0,0.9996616840362549,0.00033835339127108455,1,2,6,0
204,"that dogged good will of the parents and ` vain ' jia 's defoliation of ego , make the film touching despite some doldrums . ",1,1,0.9991790652275085,0.9991790652275085,1,25,125,0
205,falls neatly into the category of good stupid fun . ,1,1,0.9897941946983337,0.9897941946983337,1,10,52,0
