id,text,true_label,bert_pred,bert_confidence,bert_prob_label_1,bert_correct,text_length_words,text_length_chars,has_negation
68,good old-fashioned slash-and-hack is back ! ,1,1,0.9934089183807373,0.9934089183807373,1,6,44,0
69,"this one is definitely one to skip , even for horror movie fanatics . ",0,1,0.9807794094085693,0.9807794094085693,0,14,70,0
70,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0,0,0.9790408611297607,0.02095913328230381,1,27,165,1
71,"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ",1,1,0.9997771382331848,0.9997771382331848,1,28,168,1
72,uses high comedy to evoke surprising poignance . ,1,1,0.9997112154960632,0.9997112154960632,1,8,49,0
73,"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . ",1,1,0.9991108775138855,0.9991108775138855,1,24,117,0
74,a string of rehashed sight gags based in insipid vulgarity . ,0,0,0.9991673231124878,0.0008327500545419753,1,11,61,0
75,among the year 's most intriguing explorations of alientation . ,1,1,0.9997683167457581,0.9997683167457581,1,10,64,0
76,the movie fails to live up to the sum of its parts . ,0,0,0.9994520545005798,0.0005479718674905598,1,13,53,0
77,the son 's room is a triumph of gentility that earns its moments of pathos . ,1,1,0.9992345571517944,0.9992345571517944,1,16,77,0
78,"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",1,1,0.999441921710968,0.999441921710968,1,31,166,1
79,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,0,0,0.9992558360099792,0.0007441668421961367,1,44,234,0
80,the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,1,1,0.9997699856758118,0.9997699856758118,1,18,78,0
81,"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ",0,0,0.9979307651519775,0.0020691982936114073,1,24,107,0
82,it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,0,0,0.990922749042511,0.00907720997929573,1,14,93,0
83,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",1,1,0.9940074682235718,0.9940074682235718,1,23,126,0
84,"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ",1,1,0.9996084570884705,0.9996084570884705,1,23,123,0
85,the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ,1,1,0.9991195797920227,0.9991195797920227,1,22,111,0
86,"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",0,0,0.9994019269943237,0.0005981007707305253,1,21,113,0
87,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,1,0,0.9559810161590576,0.044019050896167755,0,17,96,0
88,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,1,1,0.9973853230476379,0.9973853230476379,1,28,143,1
89,"we know the plot 's a little crazy , but it held my interest from start to finish . ",1,1,0.9984128475189209,0.9984128475189209,1,19,84,1
90,"it 's a scattershot affair , but when it hits its mark it 's brilliant . ",1,1,0.9997205138206482,0.9997205138206482,1,16,73,1
91,"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . ",1,1,0.9997138381004333,0.9997138381004333,1,19,116,1
92,"you wo n't like roger , but you will quickly recognize him . ",0,1,0.9976400136947632,0.9976400136947632,0,13,61,1
93,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,1,0,0.7927342057228088,0.20726576447486877,0,16,76,0
94,"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ",1,1,0.9996857643127441,0.9996857643127441,1,24,135,1
95,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,0,1,0.9987450838088989,0.9987450838088989,0,26,146,0
96,"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",0,0,0.9880649447441101,0.011935029178857803,1,28,152,1
97,"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ",1,1,0.9985396862030029,0.9985396862030029,1,23,133,1
98,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ",0,0,0.9994937181472778,0.0005062813288532197,1,21,121,0
99,why make a documentary about these marginal historical figures ? ,0,0,0.9966249465942383,0.0033750322181731462,1,10,65,0
100,"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . ",1,1,0.9997376799583435,0.9997376799583435,1,22,111,1
101,"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",0,0,0.9970224499702454,0.00297748576849699,1,21,112,1
102,"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters ",1,1,0.9311214089393616,0.9311214089393616,1,15,93,1
103,"a gripping movie , played with performances that are all understated and touching . ",1,1,0.9998151659965515,0.9998151659965515,1,14,84,0
104,"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ",1,1,0.9861193895339966,0.9861193895339966,1,47,231,1
105,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ",0,0,0.9929117560386658,0.007088241633027792,1,32,165,0
106,the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . ,1,1,0.9996405839920044,0.9996405839920044,1,16,97,0
107,what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,0,0,0.998798131942749,0.0012018152046948671,1,21,109,1
108,"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ",0,0,0.9958250522613525,0.004174993373453617,1,20,97,1
109,it 's great escapist fun that recreates a place and time that will never happen again . ,1,1,0.9997770190238953,0.9997770190238953,1,17,88,1
110,"scores no points for originality , wit , or intelligence . ",0,0,0.9984160661697388,0.001583930803462863,1,11,59,1
111,"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ",0,0,0.9924368262290955,0.007563162595033646,1,16,91,1
112,hilariously inept and ridiculous . ,1,0,0.9988303780555725,0.0011696652509272099,0,5,35,0
113,this movie is maddening . ,0,0,0.9994158744812012,0.0005841739475727081,1,5,26,0
114,"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ",1,1,0.9997259974479675,0.9997259974479675,1,29,140,1
115,sam mendes has become valedictorian at the school for soft landings and easy ways out . ,0,1,0.9597196578979492,0.9597196578979492,0,16,88,0
116,one of the smartest takes on singles culture i 've seen in a long time . ,1,1,0.9997250437736511,0.9997250437736511,1,16,73,0
117,"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ",1,1,0.9996926784515381,0.9996926784515381,1,26,146,1
118,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,0,1,0.9981749057769775,0.9981749057769775,0,20,110,1
119,comes ... uncomfortably close to coasting in the treads of the bicycle thief . ,0,0,0.9979935884475708,0.002006449503824115,1,14,79,0
120,"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ",1,1,0.9996479749679565,0.9996479749679565,1,28,160,0
121,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,0,1,0.9312822818756104,0.9312822818756104,0,24,123,1
122,old-form moviemaking at its best . ,1,1,0.9978054165840149,0.9978054165840149,1,6,35,0
123,turns potentially forgettable formula into something strangely diverting . ,1,1,0.9976990818977356,0.9976990818977356,1,9,75,0
124,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ",1,1,0.9764517545700073,0.9764517545700073,1,33,175,0
125,a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair . ,1,1,0.9997990727424622,0.9997990727424622,1,25,137,0
126,confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it . ,0,0,0.9930030703544617,0.006996877025812864,1,22,114,0
127,"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . ",0,0,0.9969106316566467,0.0030893334187567234,1,35,177,0
128,montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ,1,1,0.9997711777687073,0.9997711777687073,1,28,158,1
129,"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . ",1,1,0.9998096823692322,0.9998096823692322,1,19,115,0
130,suffers from the lack of a compelling or comprehensible narrative . ,0,0,0.9994215965270996,0.0005784392706118524,1,11,68,0
131,"in execution , this clever idea is far less funny than the original , killers from space . ",0,0,0.9669291377067566,0.03307092934846878,1,18,91,0
132,scooby dooby doo / and shaggy too / you both look and sound great . ,1,1,0.9997721314430237,0.9997721314430237,1,15,68,0
133,"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . ",0,0,0.9964738488197327,0.0035261064767837524,1,36,162,0
134,it all drags on so interminably it 's like watching a miserable relationship unfold in real time . ,0,0,0.9978141784667969,0.0021857612300664186,1,18,99,0
135,"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . ",0,0,0.9779393076896667,0.022060712799429893,1,37,203,1
136,looks and feels like a project better suited for the small screen . ,0,0,0.9982630610466003,0.0017369284760206938,1,13,68,0
137,"forced , familiar and thoroughly condescending . ",0,0,0.9994853734970093,0.0005146379116922617,1,7,49,0
138,that is a compliment to kuras and miller . ,1,1,0.9997201561927795,0.9997201561927795,1,9,43,0
139,it 's not the ultimate depression-era gangster movie . ,0,0,0.9982084035873413,0.0017915964126586914,1,9,55,1
140,sacrifices the value of its wealth of archival foot-age with its less-than-objective stance . ,0,0,0.9988284707069397,0.0011715233558788896,1,14,94,0
141,the character of zigzag is not sufficiently developed to support a film constructed around him . ,0,0,0.9993811845779419,0.0006188452825881541,1,16,97,1
142,what better message than ` love thyself ' could young women of any size receive ? ,1,0,0.9518420696258545,0.048157934099435806,0,16,82,0
143,a solid film ... but more conscientious than it is truly stirring . ,1,1,0.5481055378913879,0.5481055378913879,1,13,68,1
144,"while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film . ",0,0,0.9990049004554749,0.0009951607789844275,1,22,111,1
145,the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . ,0,0,0.9943392872810364,0.005660724360495806,1,27,132,1
146,"about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological . ",1,1,0.9997797608375549,0.9997797608375549,1,22,123,1
147,the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . ,0,1,0.7344694137573242,0.7344694137573242,0,26,141,1
148,feels too formulaic and too familiar to produce the transgressive thrills of early underground work . ,0,0,0.9994176626205444,0.0005823499523103237,1,16,102,0
149,"the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance . ",1,1,0.9984631538391113,0.9984631538391113,1,30,179,0
150,overall very good for what it 's trying to do . ,1,1,0.9996956586837769,0.9996956586837769,1,11,48,0
151,"a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion . ",1,1,0.9997946619987488,0.9997946619987488,1,17,106,0
152,"a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear . ",1,1,0.999555766582489,0.999555766582489,1,28,168,0
153,the heavy-handed film is almost laughable as a consequence . ,0,0,0.9970616698265076,0.002938313642516732,1,10,61,0
154,a solid examination of the male midlife crisis . ,1,1,0.9996973276138306,0.9996973276138306,1,9,49,0
155,a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes . ,0,0,0.9995463490486145,0.0004535746411420405,1,29,163,0
156,"manages to transcend the sex , drugs and show-tunes plot into something far richer . ",1,1,0.9996780157089233,0.9996780157089233,1,15,85,0
157,it takes talent to make a lifeless movie about the most heinous man who ever lived . ,0,0,0.9986376166343689,0.0013624154962599277,1,17,85,1
158,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0,0,0.7199841737747192,0.28001582622528076,1,33,168,0
159,"like leon , it 's frustrating and still oddly likable . ",1,1,0.9996868371963501,0.9996868371963501,1,11,56,0
160,"uncommonly stylish but equally silly ... the picture fails to generate much suspense , nor does it ask searching enough questions to justify its pretensions . ",0,0,0.999342143535614,0.0006578865577466786,1,26,159,1
161,not exactly the bees knees ,0,0,0.9914109706878662,0.008589041419327259,1,5,27,1
162,"there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there . ",0,0,0.9983934760093689,0.0016065133968368173,1,27,112,1
163,"slapstick buffoonery can tickle many a preschooler 's fancy , but when it costs a family of four about $ 40 to see a film in theaters , why spend money on a dog like this when you can rent a pedigree instead ? ",0,0,0.9927079081535339,0.007292100694030523,1,44,210,1
164,a woman 's pic directed with resonance by ilya chaiken . ,1,1,0.9996421337127686,0.9996421337127686,1,11,57,0
165,may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen . ,0,0,0.9981651902198792,0.0018348388839513063,1,22,131,1
166,"characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs . ",0,0,0.9949551224708557,0.005044909194111824,1,30,178,1
167,the end result is a film that 's neither . ,0,0,0.9983868598937988,0.0016131103038787842,1,10,43,0
168,manages to be sweet and wickedly satisfying at the same time . ,1,1,0.9996211528778076,0.9996211528778076,1,12,63,0
169,leigh 's film is full of memorable performances from top to bottom . ,1,1,0.9997482895851135,0.9997482895851135,1,13,69,0
170,"it 's also , clearly , great fun . ",1,1,0.9998067021369934,0.9998067021369934,1,9,35,0
171,rarely has leukemia looked so shimmering and benign . ,0,1,0.8643722534179688,0.8643722534179688,0,9,54,0
172,it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . ,1,0,0.9392051100730896,0.06079493835568428,0,23,102,1
173,"determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult . ",0,0,0.9751003384590149,0.02489963173866272,1,21,106,1
174,if you dig on david mamet 's mind tricks ... rent this movie and enjoy ! ,1,1,0.9996216297149658,0.9996216297149658,1,16,73,0
175,"bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves . ",1,1,0.997443675994873,0.997443675994873,1,17,102,0
176,"delivers the same old same old , tarted up with latin flava and turned out by hollywood playas . ",0,0,0.9949895739555359,0.005010393448174,1,19,97,0
177,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ",0,0,0.9984684586524963,0.0015315045602619648,1,27,152,1
178,it made me want to wrench my eyes out of my head and toss them at the screen . ,0,0,0.9978856444358826,0.002114383038133383,1,19,79,0
179,the film 's performances are thrilling . ,1,1,0.9998049139976501,0.9998049139976501,1,7,41,0
180,"unfortunately , it 's not silly fun unless you enjoy really bad movies . ",0,0,0.9964599013328552,0.003540056524798274,1,14,73,1
181,it 's a bad thing when a movie has about as much substance as its end credits blooper reel . ,0,0,0.9989783763885498,0.0010216892696917057,1,20,93,0
182,"i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand . ",0,0,0.9989728927612305,0.0010271149221807718,1,25,121,1
183,"the lower your expectations , the more you 'll enjoy it . ",0,1,0.9993212223052979,0.9993212223052979,0,12,58,0
184,"though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining . ",0,0,0.6638559103012085,0.3361441493034363,1,38,229,1
185,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ",1,1,0.9997041821479797,0.9997041821479797,1,17,109,0
186,"pacino is brilliant as the sleep-deprived dormer , his increasing weariness as much existential as it is physical . ",1,1,0.9994303584098816,0.9994303584098816,1,19,116,1
187,` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . ' ,1,1,0.9989867806434631,0.9989867806434631,1,19,105,0
188,"a misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment . ",0,0,0.9987165927886963,0.001283464371226728,1,18,100,0
189,"its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ? ",0,0,0.9962142109870911,0.003785795532166958,1,27,117,1
190,"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! ' ",0,0,0.992354154586792,0.007645812351256609,1,33,150,1
191,the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that 's all too rare in hollywood 's hastier productions . ,1,1,0.999483585357666,0.999483585357666,1,31,158,0
192,"a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences . ",1,1,0.9856871962547302,0.9856871962547302,1,24,133,0
193,"morton uses her face and her body language to bring us morvern 's soul , even though the character is almost completely deadpan . ",1,1,0.996227502822876,0.996227502822876,1,24,130,0
194,"instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life . ",1,1,0.9986466765403748,0.9986466765403748,1,19,117,0
195,my thoughts were focused on the characters . ,1,1,0.9975087642669678,0.9975087642669678,1,8,45,0
196,"so , too , is this comedy about mild culture clashing in today 's new delhi . ",1,1,0.9951565265655518,0.9951565265655518,1,17,78,0
197,"for starters , the story is just too slim . ",0,0,0.9991883635520935,0.0008116818498820066,1,10,44,0
198,"this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world . ",1,1,0.9998036026954651,0.9998036026954651,1,33,189,1
199,"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave . ",0,0,0.9891940355300903,0.010805913247168064,1,30,138,1
200,"the format gets used best ... to capture the dizzying heights achieved by motocross and bmx riders , whose balletic hotdogging occasionally ends in bone-crushing screwups . ",1,1,0.9990234375,0.9990234375,1,27,173,0
201,"inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat . ",1,1,0.9993323683738708,0.9993323683738708,1,33,154,1
202,"there ought to be a directing license , so that ed burns can have his revoked . ",0,0,0.9983938336372375,0.0016061540227383375,1,17,80,0
203,bad . ,0,0,0.999640941619873,0.0003589899279177189,1,2,6,0
204,"that dogged good will of the parents and ` vain ' jia 's defoliation of ego , make the film touching despite some doldrums . ",1,1,0.998917818069458,0.998917818069458,1,25,125,0
205,falls neatly into the category of good stupid fun . ,1,0,0.6972200870513916,0.3027799129486084,0,10,52,0
